Title,Number,Barcode,Author,Summary,Status
Blue water hues ,F DEL,GRAY381564,"Delany, Vicki,","Paramedic Ashley Grant is settling into her new life in the Caribbean, although sometimes she still feels like a fish out of water. The ambulance is called to a fire at a prestigious resort, and Ashley recognizes the victim as a hotel chef and the cousin of her friend Darlene. When a second death occurs, the police are quick to close the case. But Darlene isn't satisfied, and she drags the unwitting Ashley into the investigation. Does this idyllic beach resort have a dark side?","October 7, 2022"
The secret between us ,F DEL,GRAY382589,"Delinsky, Barbara.","Nothing will break this mother-daughter bond. Not even the truth.Deborah Monroe and her daughter, Grace, are driving home from a party when their car hits a man running in the dark. Grace was at the wheel, but Deborah sends her home before the police arrive, determined to shoulder the blame for the accident. Her decision then turns into a deception that takes on a life of its own and threatens the special bond between mother and daughter. The Secret Between Us is an unforgettable story about making bad choices for the right reasons and the terrible consequences of a lie gone wrong. Once again, Barbara Delinksy has delivered a riveting study of family and a superbly crafted novel, perfectly targeted to reading groups and fans of provocative fiction.",Available
Sun-kissed ,F DEL,GRAY18400,"De la Cruz, Melissa,","Be careful or you'll get burned. The three hottest au pairs in history are back, and this time they're ready to rule the Hamptons. Mara has all the VIPs in the hottest clubs hanging on her every word. Eliza's family is back from financial ruin; and she's got the platinum charge cards to prove it. Jacqui is newly single and ready for some steamy summer hook-ups. The girls seem to have it all this summer...but looks, as we all know, can be deceiving.Mara's living every girl's dream: playing house with her boyfriend, Ryan Perry, on his parents' luxury yacht while writing a column about night-life in the Hamptons. With a press pass to every hot event, Mara's ready to hit the red carpet and scoop even the most seasoned journalists. If only she could get a pass from Ryan, who just wants her to stay home and cuddle.Last summer's ""No boys!"" mantra is a distant memory for Jacqui. While the new au pair, Shannon, handles the Perry kids, Jacqui searches for some serious fun. And she doesn't have to look far: Three dot.com boy millionaires have moved in next door and are more than happy to compete for her affections. Thus Jacqui's new mantra is, ""Why have just one when you can have them all?""Eliza and Jeremy are in total relationship bliss. She's decided to take the next step with Jeremy and nothing's going to stop her this time. Unfortunately, what she thought would be a cakewalk internship for a famous fashion designer turns out to be more hours of hard labor than she, or her relationship, are ready for. Too bad Jeremy won't stop questioning her work ethic long enough for Eliza to get back in the mood",Available
The woman next door  Barbara Delinsky,F DEL,GRAY15485,"Delinsky, Barbara","The lives of three couples are thrown into turmoil when their beautiful and much younger neighbor, who has been widowed for a year, announces that she is pregnant, forcing the wives to reevaluate their marriages and relationships.",Available
Spiral ,F DEN ,GRAY381693,"Denman, K. L.,","When fifteen-year-old Abby is seriously injured, her wounds go far deeper than her broken back. Rehabilitation therapy teaches her to cope with her new physical reality but once she's home with her family, she refuses to participate in life and withdraws into a world of drugs.Abby's family discovers her addiction, and she is sent to a farm that specializes in Equine Assisted Therapy. She must still do battle with her cravings, but when she witnesses the connection between another young patient and a pony, she decides that if this girl can heal, she too can learn to be present in life again.",Available
Battle of the bands ,F DEN,GRAY381702,"Denman, K. L.,","Jay, Kelvin and Cia are The Lunar Ticks, a dedicated band who are convinced they are on their way up. They hope to win an upcoming battle of the bands where the first prize is a full day in a recording studio. Jay is struggling to write new material but finds he lacks the experience to come up with a truly original song. Going up against Indigo Daze, a band from another school, Jay finds himself falling for Rowan, the leader of the other band. When Rowan's guitar is trashed right before the contest The Lunar Ticks are the prime suspects.Also available in Spanish.",Available
Dreamland ,F DES,GRAY16472,"Dessen, Sarah.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
Someone like you ,F DES,GRAY22094,"Dessen, Sarah.","Halley has always followed in the wake of her best friend, Scarlett. But when Scarlett learns that her boyfriend has been killed in a motorcycle accident, and that she's carrying his baby, she's devastated. For the first time ever, Scarlett really needs Halley. Their friendship may bend under the weight, but it'll never break—because a true friendship is a promise you keep forever.",Available
Lock and key :,F DES,GRAY19900,"Dessen, Sarah.","Ruby, where is your mother? Ruby knows that the game is up. For the past few months, she's been on her own in the yellow house, managing somehow, knowing that her mother will probably never return. That's how she comes to live with Cora, the sister she hasn't seen in ten years, and Cora's husband Jamie, whose down-to-earth demeanor makes it hard for Ruby to believe he founded the most popular networking Web site around. A luxurious house, fancy private school, a new wardrobe, the promise of college and a future; it's a dream come true. So why is Ruby such a reluctant Cinderella, wary and defensive? And why is Nate, the genial boy next door with some secrets of his own, unable to accept the help that Ruby is just learning to give? Best-selling author Sarah Dessen explores the heart of a gutsy, complex girl dealing with unforeseen circumstances and learning to trust again.",Available
Along for the ride :,F DES,GRAY37244,"Dessen, Sarah.","It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the charming beach town where they live.A job in a clothes boutique introduces Auden to the world of girls: their talk, their friendship, their crushes. She missed out on all that, too busy being the perfect daughter to her demanding mother. Then she meets Eli, an intriguing loner and a fellow insomniac who becomes her guide to the nocturnal world of the town. Together they embark on parallel quests: for Auden, to experience the carefree teenage life she’s been denied; for Eli, to come to terms with the guilt he feels for the death of a friend.In her signature pitch-perfect style, Sarah Dessen explores the hearts of two lonely people learning to connect.",Available
JUST LISTEN,F DES,GRAY37280,SARAH DESSEN,"Last year, Annabel was ""the girl who has everything"" — at least that's the part she played in the television commercial for Kopf's Department Store.This year, she's the girl who has nothing: no best friend because mean-but-exciting Sophie dropped her, no peace at home since her older sister became anorexic, and no one to sit with at lunch. Until she meets Owen Armstrong.Tall, dark, and music-obsessed, Owen is a reformed bad boy with a commitment to truth-telling. With Owen's help, maybe Annabel can face what happened the night she and Sophie stopped being friends.",Available
What happened to goodbye ,F DES,GRAY37245,"Dessen, Sarah.","What Happened to Goodbye Study Guide contains comprehensive summaries and analysis of the book. This study guide includes a detailed Plot Summary, Chapter Summaries & Analysis, Character Descritions, Objects/Places, Themes, Styles, Quotes, and Topics for Discussion on What Happened to Goodbye by Sarah Dessen.",Available
This lullaby :,F DES,GRAY37202,"Dessen, Sarah.","There is an alternate cover edition for this ISBN13 here.The science of breaking up...Remy always knows when to give a guy ""the speech"" - right after the initial romantic rush, but before anything gets too serious. She's had her fair share of boyfriends, and she's learned all there is to learn from her mother, who's currently working on husband number five. So why is it that's Remy can't seem to dump Dexter? It can't be his name. It can't be that he's messy and disorganized. And it certainly isn't that he's a musician - just like Remy's father, a man she never knew because he left before she was born. Could it be that Remy's romantic rules to live by don't apply anymore?",Available
The Moon and More ,F DES,GRAY37133,"Dessen, Sarah.","Luke is the perfect boyfriend: handsome, kind, fun. He and Emaline have been together all through high school in Colby, the beach town where they both grew up. But now, in the summer before college, Emaline wonders if perfect is good enough.Enter Theo, a super-ambitious outsider, a New Yorker assisting on a documentary film about a reclusive local artist. Theo's sophisticated, exciting, and, best of all, he thinks Emaline is much too smart for Colby.Emaline's mostly-absentee father, too, thinks Emaline should have a bigger life, and he's convinced that an Ivy League education is the only route to realizing her potential. Emaline is attracted to the bright future that Theo and her father promise. But she also clings to the deep roots of her loving mother, stepfather, and sisters. Can she ignore the pull of the happily familiar world of Colby?Emaline wants the moon and more, but how can she balance where she comes from with where she's going?Sarah Dessen's devoted fans will welcome this story of romance, yearning, and, finally, empowerment. It could only happen in the summer.",Available
Keeping the moon ,F DES,GRAY37267,"Dessen, Sarah.","There is an alternate cover edition for this ISBN13 here.Colie expects the worst when she's sent to spend the summer with her eccentric aunt Mira while her mother, queen of the television infomercial, tours Europe. Always an outcast -- first for being fat and then for being ""easy"" -- Colie has no friends at home and doesn't expect to find any in Colby, North Carolina. But then she lands a job at the Last Chance Cafe and meets fellow waitresses Morgan and Isabel, best friends with a loving yet volatile relationship. Wacky yet wise, Morgan and Isabel help Colie see herself in a new way and realize the potential that has been there all along.",Available
That Summer ,F DES,GRAY37121,"Dessen, Sarah.","For fifteen-year-old Haven, life is changing too quickly. She's nearly six feet tall, her father is getting remarried, and her sister—the always perfect Ashley—is planning a wedding of her own. Haven wishes things could just go back to the way they were. Then an old boyfriend of Ashley's reenters the picture, and through him, Haven sees the past for what it really was, and comes to grips with the future.",Available
Lock and Key,F DES,GRAY22065,"Dessen, Sarah","Ruby, where is your mother? Ruby knows that the game is up. For the past few months, she's been on her own in the yellow house, managing somehow, knowing that her mother will probably never return. That's how she comes to live with Cora, the sister she hasn't seen in ten years, and Cora's husband Jamie, whose down-to-earth demeanor makes it hard for Ruby to believe he founded the most popular networking Web site around. A luxurious house, fancy private school, a new wardrobe, the promise of college and a future; it's a dream come true. So why is Ruby such a reluctant Cinderella, wary and defensive? And why is Nate, the genial boy next door with some secrets of his own, unable to accept the help that Ruby is just learning to give? Best-selling author Sarah Dessen explores the heart of a gutsy, complex girl dealing with unforeseen circumstances and learning to trust again.",Available
Last chance ,F DES,GRAY37404,"Dessen, Sarah.","Always the outcast, Colie doesn't expect her trip to the North Carolina coast to change a thing. But when she finds a job waitressing at the Last Chance cafe, she also finds acceptance, new friends and the beginnings of romance.",Available
Night hoops ,F DEU,GRAY21485,"Deuker, Carl.","Nick Abbott and Trent Dawson have nothing in common but basketball. It's sophomore year and Nick is trying to deal with his parents' divorce. He also really wants to be a star on the basketball team. Trent, his neighbor, is angry, and aggressive. The two form an uneasy bond as they quietly practice each night on Nick's backyard basketball court. But as the basketball season progresses, their lives become unexpectedly intertwined. In this story of an unlikely bond, Carl Deuker explores the confusing place between loneliness and friendship, between faithfulness and betrayal. Filled with gripping game play, this is a story about choices.While trying to prove that he is good enough to be on his high school's varsity basketball team, Nick must also deal with his parents' divorce and the erractic behavior of a troubled classmate who lives across the street.",Available
No and me ,F DEV,GRAY23925,"Vigan, Delphine de.","Unlock the more straightforward side of No and Me with this concise and insightful summary and analysis!

This engaging summary presents an analysis of No and Me by Delphine de Vigan, which tells the story of Lou, a gifted 13-year-old who one day meets a homeless girl called No. Lou decides to help her new friend to escape the streets and, in doing so, discovers a lot about poverty, homelessness, friendship and life in general. Despite being a relatively simple story, the novel was met with widespread acclaim when it was released, with De Vigan’s writing transforming what could have been a standard young adult novel into “a thing of poetic beauty” (The Times). De Vignan is a French writer who wrote under the pseudonym Lou Delvig before winning the Rotary International Prize in 2009 and the prestigious Prix des libraires for No and Me.Find out everything you need to know about No and Me in a fraction of the time!
This in-depth and informative reading guide brings you:
• A complete plot summary• Character studies• Key themes and symbols• Questions for further reflectionWhy choose BrightSummaries.com?Available in print and digital format, our publications are designed to accompany you on your reading journey. The clear and concise style makes for easy understanding, providing the perfect opportunity to improve your literary knowledge in no time.See the very best of literature in a whole new light with BrightSummaries.com!",Available
THE TALE OF DESPEREAUX,F DIC,GRAY19185,"DICAMILLO, KATE","The Tale of Despereaux Study Guide contains comprehensive summaries and analysis of the book. This study guide includes a detailed Plot Summary, Chapter Summaries & Analysis, Character Descriptions, Objects/Places, Themes, Styles, Quotes, and Topics for Discussion on The Tale of Despereaux by Kate DiCamillo.",Available
Bleak House ,F DIC,GRAY19327,"Dickens, Charles,","This study guide by BookRags.com, consists of approx. 61 pages of chapter summaries, character analysis, themes, and more – everything you need to sharpen your knowledge of Bleak House by Charles Dickens.This comprehensive study guide includes the following sections written by BookRags.com: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, and Topics for Discussion.",Available
One pair of feet,F Dic,GRAY6549,"Dickens, Monica","As the effects of the war raging in Europe begin to be felt at home in London, Monica Dickens decides to do her bit and to pursue a new career, and so enrols as a student nurse at a hospital in rural Hertfordshire. By nature clever and spirited, she struggles to submit to the iron rule of the Matron and Sisters, and is alternately infuriated and charmed by her patients. That's not to mention the mountains of menial work that are a trainee's lot. But there are friends among the staff and patients, night-time escapades to dances with dashing army men, and her secret writing project to keep her going.",Available
Tale of two cities,F Dic,GRAY6552,"Dickens, Charles","""In what may be Dickens's best novel, one day in an overgrown churchyard, a grizzled convict springs upon an orphan named Pip. The convict terrifies the young boy and threatens to kill him unless Pip helps further his escape. Later, Pip finds himself in the ruined garden where he meets the bitter and crazy Miss Havisham and her foster child Estella, with whom he immediately falls in love. After a secret benefactor gives him a fortune, Pip moves to London, where he cultivates great expectations for a life which would allow him to discard his impoverished beginnings and socialize with the idle upper class.  As Pip struggles to become a gentleman and is tormented endlessly by the beautiful Estella, he slowly learns the truth about himself and his illusions.  """,Available
Oliver Twist,F DIC,GRAY36392,"Dickens, Charles","Charles Dickens is not only the author of some of the best-loved stories in the English language, but also the creator of some of its most memorable characters. Meet them all between the pages of this splendid book, which retells, in lively comicstrip style, five of Dickens' most popular stories: ""Oliver Twist"", ""Great Expectations"", ""A Tale of Two Cities"", ""David Copperfield"" and ""A Christmas Carol"".",Available
A Christmas Carol,F DIC,GRAY381379,"Dickens, Charles","
The latest novel from Heather Redmond's acclaimed mystery series finds young Charles Dickens suspecting a miser of pushing his partner out a window, but his fianc�e Kate Hogarth takes a more charitable view of the old man's innocence . . .
London, December 1835: Charles and Kate are out with friends and family for a chilly night of caroling and good cheer. But their blood truly runs cold when their singing is interrupted by a body plummeting from an upper window of a house. They soon learn the dead man at their feet, his neck strangely wrapped in chains, is Jacob Harley, the business partner of the resident of the house, an unpleasant codger who owns a counting house, one Emmanuel Screws.Ever the journalist, Charles dedicates himself to discovering who's behind the diabolical defenestration. But before he can investigate further, Harley's corpse is stolen. Following that, Charles is visited in his quarters by what appears to be Harley's ghost--or is it merely Charles's overwrought imagination? He continues to suspect Emmanuel, the same penurious penny pincher who denied his father a loan years ago, but Kate insists the old man is too weak to heave a body out a window. Their mutual affection and admiration can accommodate a difference of opinion, but matters are complicated by the unexpected arrival of an infant orphan. Charles must find the child a home while solving a murder, to ensure that the next one in chains is the guilty party . . .",Available
Ceiling stars ,F DIE,GRAY17046,"Diersch, Sandra.","Christine and Danelle have been best friends forever, a relationship as seemingly infinite as the glow-in-the-dark stars they have affixed to their bedroom ceilings. Lately, though, the girls have been drifting apart, as Danelle's quirky moods turn into wild and reckless acts. At first Christine wonders if her friend is on drugs, but what kind of drugs make you climb a rooftop one moment and send you into the depths of despair the next? The truth behind Danelle's ups and downs is far more complex and dangerous than Christine ever could have anticipated. Ceiling Stars is a moving story about the strength and limits of friendship in the presence of mental illness.[Fry Reading Level - 4.8]",Available
Ceol,F DIL,GRAY17188,"Dillon, Crisdean",Dealbhan le Ceit NicPhàrlain,Available
The Marrow Thieves ,F DIM,GRAY382495,"Dimaline, Cherie,","SuperSummary, a modern alternative to SparkNotes and CliffsNotes, offers high-quality study guides for challenging works of literature. This 41-page guide for “The Marrow Thieves” by Cherie Dimaline includes detailed chapter summaries and analysis covering 26 chapters, as well as several more in-depth sections of expert-written literary analysis. Featured content includes commentary on major characters, 25 important quotes, essay topics, and key themes like Story and Loss, Rebirth, and Rebuilding.",Available
Dream spinner ,F DOB,GRAY18396,"Dobkin, Bonnie.","Disfigured by a car accident that also killed her dad, Jori has been transformed from a popular high school student into a bitter loner. Fatherless, isolated, and betrayed by her best friend, Jori is angry at the world. And now her sister Lisa has disappeared, unable to cope with the changes in her family. Walking home from school one day, Jori stumbles upon a strange house and meets Professor DePris, who shows her a living tapestry woven from dreams. Distrustful of the eccentric old man and the telepathic spider who weaves for him, she resists entering the dream tapestry until she realizes her sister is trapped inside. It's up to Jori to enter the tapestry and rescue Lisa from the monstrous old man who is feasting on her fantasies. But how can Jori convince Lisa to leave this fantastic, yet dangerous, world where anything--even reuniting with their father--is possible?",Available
Cory Doctorow's futuristic tales of the here and now ,F DOC,GRAY20150,"Doctorow, Cory.","Writer and BoingBoing.net co-editor Cory Doctorow has won acclaim for his science-fiction writing as well as his Creative Commons presentation of his material. Now, IDW Publishing is proud to present six standalone stories adapted from Doctorow's work, each featuring cover art by some of comics' top talents including Sam Kieth, Scott Morse, Paul Pope, Ben Templesmith, Ashley Wood, and more. Stories collected include: The Locus Award-winning ""When Sysadmins Ruled the Earth;"" ""Anda's Game,"" a story selected for inclusion in the Michael Chabon-edited 2005 Best American Short Stories; ""Craphound,"" a story selected for Year's Best Science Fiction XVI; ""Nimby and the D-Hoppers,"" selected for Year's Best Science Fiction 9; The Hugo-nominated and Locus Award-winning ""I Robot;"" and ""After the Siege.""",Available
All the light we cannot see :,F DOE,GRAY382564,"Doerr, Anthony,","Please note: This is not the book by Anthony Doerr.All the Light We Cannot See: by Anthony Doerr -- Sidekick to the Novel  Can’t get enough of Anthony Doerr’s All the Light We Cannot See? Immerse yourself in his world and discover hidden treasures with this Sidekick.  Warning: This is an independent companion to All the Light We Cannot See, meant to enhance your experience of the novel. If you have not yet bought  All the Light We Cannot See , make sure to purchase it before buying this unofficial Sidekick.  Blind since early childhood, Marie-Laure is only twelve years old when she is forced to flee her home as the Nazis occupy France. Werner, a German orphan, has a talent for fixing radios—a talent that the Nazi government is all too eager to embrace. As Doerr sweeps us forward, backward, and forward again in time, the lives of these two individuals weave together, intersecting at the bombing of Saint-Malo.  With this Sidekick, you’ll:  • Discover some of the novel’s fascinating hidden gems  • Spend some more time with the characters you’ve come to know and love  • Learn what you might have missed on your first read of  All the Light We Cannot See  • Explore a possible alternate ending and imagine ideas for a sequel  • Get a chance to discuss the book with other readers on our Facebook forum  Sidekicks are entertaining and insightful reading companions, filled with delightful commentary and thought-provoking questions. Readers have raved that Dave Eagle’s Sidekicks ""really put you in touch with the many layers of the novel,"" ""keep you entertained even longer,"" and are ""perfect if you want a vivid understanding of the story."" Designed to be read side by side with the novels they complement, they’ll give you even more reasons to love some of today’s best books.",Available
About Grace,F DOE,GRAY380362,"Doerr, Anthony,","When Anthony Doerr's The Shell Collector was published in 2002, the Los Angeles Times called his stories ""as close to faultless as any writer—young or vastly experienced—could wish for."" He won the Rome Prize from the American Academy of Arts and Letters, the Discover Prize, Princeton's Hodder Fellowship, and two O. Henrys, and shared the Young Lions Award. Now he has written one of the most beautiful, wise, and compelling first novels of recent times. David Winkler begins life in Anchorage, Alaska, a quiet boy drawn to the volatility of weather and obsessed with snow. Sometimes he sees things before they happen—a man carrying a hatbox will be hit by a bus; Winkler will fall in love with a woman in a supermarket. When David dreams that his infant daughter will drown in a flood as he tries to save her, he comes undone. He travels thousands of miles, fleeing family, home, and the future itself, to deny the dream. On a Caribbean island, destitute, alone, and unsure if his child has survived or his wife can forgive him, David is sheltered by a couple with a daughter of their own. Ultimately it is she who will pull him back into the world, to search for the people he left behind. Doerr's characters are full of grief and longing, but also replete with grace. His compassion for human frailty is extraordinarily moving. In luminous prose, he writes about the power and beauty of nature and about the tiny miracles that transform our lives. About Grace is heartbreaking, radiant, and astonishingly accomplished.  ",Available
The storyteller's daughter :,F DOK,GRAY19404,"Dokey, Cameron.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
My Story: Viking blood :,F DON,GRAY381487,"Donkin, Andrew","Part of the million-selling MY STORY series that brings the past into the real world, giving it a truly human touch. It's 1008 AD, and after being injured in a raid that goes horribly wrong, Tor Scaldbane is devastated at losing his chance to be a legendary warrior. But then he discovers the sagas of his ancestors; glorious, bloody battles, ancient heroes, powerful gods ... and realizes that all might not be lost after all...",Available
Room :,F DON,GRAY37300,"Donoghue, Emma,","Five-year-old Jack and his Ma live in Room, an eleven-foot-square shed in the backyard of their abductor and captor, Old Nick. Ma came to Room from outside, but Jack was born into it and has never known anything else. Despite their confinement, Ma creates an extraordinary situation for her son, filled with learning, creative activities, and fantastic stories like Lewis Carroll's Alice in Wonderland. But Jack is growing and Ma knows they must somehow escape. The challenge is how to do it. Ma and Jack have a plan that is a brave and scary, and they succeed against many odds. Room is a complex and richly thematic novel told from the innocent outlook and perspective of the small Jack. Included in the discussion guide is an exclusive Bookclub-in-a-Box interview with Emma Donoghue. Every Bookclub-in-a-Box discussion guide includes complete coverage of the themes and symbols, writing style and interesting background information on the novel and the author.",Available
Strange dreams :,F DON,GRAY9111,,"A book that keeps your attention the whole time, switching from sooth-saying stories like Trusting the Universe & Status to the breath-taking Almost Beyond.",Available
The dog walker's diary ,F DON,GRAY380985,"Donahue, Kathryn,","When jaded and overworked Los Angeles literary agent Daniel Ashe hires Annie Doherty, an Irish dog walker, he's simply looking for someone to care for his dogs so he can focus on landing a dream client and save his career. He certainly doesn't expect to come home each night to find Annie has left him a new and fantastical story about the secret lives of his dogs--or that she's cast him, a man who doesn't believe in love, as a romantic hero. Now his nights are spent in a fantastical sea world, a magical circus, and the kingdoms of wonder and discord where these characters live. Each morning Daniel writes Annie a letter, asking her the questions he needs answered to get her off his mind, and each evening he finds himself more entranced than the night before. When his personal life and professional one collide, Daniel must ask himself how much he really knows about his dog walker and whether he's truly incapable of falling in love after all.",Available
Stone butterfly ,F DOS,GRAY18895,"Doss, James D.","Ute shaman Daisy Perika is no stranger to eerie dreams, but when she has a nightmare, lives could be at stake. Convinced that her visions of a wisp-thin girl with blood dripping from her hands are omens, the old woman calls on her nephew, Charlie Moon. Moon, a part-time tribal investigator and full-time Colorado rancher, is skeptical, but he knows better than to dismiss his quarrelsome aunt too quickly. After all, she has been right before. But what can he do? Although Daisy can see what's left of a dying man's face, she can't get a clear look at the girl's. Without that, Moon doesn't have anything to go on. Then he gets a call about a very real murder. Sarah Frank, an Ute-Papago orphan and daughter of Moon's childhood friend, was spotted standing over the battered body with blood on her hands. Moon and FBI Special Agent Lila Mae McTeague cross the border to investigate, but they're too late. Not only has little Sarah vanished with a one-of-a-kind family heirloom, but Moon and McTeague aren't the only ones on her trail. Off the reservation and across states lines, James D. Doss's clever mystery finds Moon on the law enforcement side of the investigation and his aunt Daisy decidedly on the other.",Available
The London Eye Mystery ,F DOW,GRAY37289,"Dowd, Siobhan.","Monday, 24 May, 11.32 a.m. Ted and Kat watch their cousin Salim get on board the London Eye. He turns and waves and the pod rises from the ground.Monday, 24 May, 12.02 p.m. The pod lands and the doors open. People exit in all shapes and sizes – but where is Salim?Ted and his older sister Kat become sleuthing partners since the police are having no luck. Despite their prickly relationship, they overcome their differences to follow a trail of clues across London in a desperate bid to find their cousin. And ultimately it comes down to Ted, whose brain runs on its own unique operating system, to find the key to the mystery.In Spring 2009. the Unicorn Theatre adapted The London Eye Mystery for the stage. The story was adapted by Unicorn Artistic Associate Carl Miller, directed by Rosamunde Hutt and performed by the Unicorn ensemble and received a host of rave reviews.",Available
Before I die ,F DOW,GRAY37222,"Downham, Jenny.","The story of Tessa, a young teenage girl who has only months to live ... a brilliantly crafted novel, heartbreaking yet life-affirming.Tessa has just months to live. Fighting back against hospital visits, endless tests, drugs with excruciating side-effects, Tessa compiles a list. It’s her To Do Before I Die list. And number one is Sex. Released from the constraints of ‘normal’ life, Tessa tastes new experiences to make her feel alive while her failing body struggles to keep up. Tessa’s feelings, her relationships with her father and brother, her estranged mother, her best friend, and her new boyfriend, all are painfully crystallised in the precious weeks before Tessa’s time finally runs out.",Available
An Gille Bragail,F DOY,GRAY17151,"Doyle, Malachy","When the bold boy finds a pea, he does a little dance and he sings a little song and off he toddles. Where does he go? To make mischief of course.",Available
THE ADVENTURES OF SHERLOCK HOLMES,F DOY,GRAY16696,ARTHUR CONAN DOYLE,This anthology of stories featuring the character of Sherlock Holmes follows on from Sir Arthur Conan Doyle's stories which ended with Holmes at Reichenbach Falls.,Available
The Valley of Fear,F DOY,GRAY12201,"DOYLE,  SIR ARTHUR CONAN ","""You have heard me speak of Professor Moriarty? The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations -- That's genius, Watson. But if I am spared by lesser men, our day will surely come.""Sherlock Holmes is the one true pastmaster of the modern mystery.",Available
"I love you, Beth Cooper ",F DOY,GRAY22184,"Doyle, Larry.","Denis Cooverman didn't want to give a typical graduation speech, cherishing memories and embracing challenges and crap. So, instead, he stood up in front of his 512 class-mates and their 3,000 relatives and said some-thing really important:""I love you, Beth Cooper."" It would have been such a sweet, romantic moment. Except that:Beth, the head cheerleader, has only the vaguest idea who Denis is.And Denis, the captain of the debate team, is so far out of her league he is barely even the same species.And then there's Kevin, Beth's remarkably large boyfriend, in town on furlough from the United States Army.Complications ensue.Denis comes of age overnight in this exhilar-ating, endearing novel that reminds us why we can't wait to escape high school but can never leave it behind.",Available
Out of my mind ,F DRA,GRAY22676,"Draper, Sharon M.","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.","November 11, 2022"
Copper sun ,F DRA,GRAY19878,"Draper, Sharon M.","SuperSummary publishes high quality study guides for contemporary works of literature. Our study guides are all written by current and former English professors with PhDs or Masters degrees in English Literature. This study guide on Copper Sun by Sharon Draper includes detailed chapter summaries and analysis, analysis of major characters, themes/motifs/symbols, top 25 quotes, and essay questions.",Available
Off road ,F DRA,GRAY382410,"Drake, Raelyn,","Wyatt has spent most of the summer mountain biking with his best friend Tanka. But when the friends decide to test out a new trail, they face potentially deadly challenges. After a crash leaves them with only one working bike far from the marked trail, they must think quickly to find their way out of the woods before nightfall. How will they make it?",Available
On edge ,F DRA,GRAY382408,"Drake, Raelyn,","Trevor and Micah set out on what they think will be a fun day of rock climbing and hiking. But after Micah takes a bad fall, injuring himself in the process, the trip is off to a bad start. Things take another turn for the worse when Trevor gets bitten by a snake. The friends know they need to act fast...before their adventure turns deadly.",Available
Breaking big ,F Dra,GRAY380443,"Draper, Penny,","Will Robin’s big break kill his ballet career before it even starts?Robin’s got everything it takes to be a principal dancer: the body, the feet, the strength and the passion. But he is better known for pranks than discipline, and everyone is shocked when he’s picked to understudy with the dance company. The choice makes sense though—Robin is cast as Puck, the annoying trickster fairy in A Midsummer Night’s Dream.Then the principal dancer is injured—and Robin has to rise to the challenge. No one thinks he can pull it off—and Robin is beginning to fear they might be right.",Available
Tears of a tiger ,F DRA,GRAY382950,"Draper, Sharon M.","After a car accident kills Robert, Andy's best friend and teammate on the Hazelwood High Tigers, Andy doesn't know if he can go on. He's consumed with guilt for driving the night of the accident after a long evening of drinking and partying. With perceptiveness and compassion, Sharon M. Draper portrays an African-American teenager who feels driven to consider suicide in the wake of a devastating tragedy.",Available
HOUSE OF SAND AND FOG,F DUB,GRAY20765,ANDRE DUBUS III,"SuperSummary, a modern alternative to SparkNotes and CliffsNotes, offers high-quality study guides for challenging works of literature. This 76-page guide for ""House of Sand and Fog"" by Andre Dubus III includes detailed chapter summaries and analysis covering 54 chapters, as well as several more in-depth sections of expert-written literary analysis. Featured content includes commentary on major characters, 25 important quotes, essay topics, and key themes like Misperception of Others and Fear of Their Judgment and Passivity Versus Action.",Available
What remains ,F DUN,GRAY382727,"Dunbar, Helene,","In less than a second...... two of the things Cal Ryan cares most about--a promising baseball career and Lizzie, one of his best friends--are gone forever.In the hours that follow......Cal's damaged heart is replaced. But his life will never be the same.Everyone expects him to pick up the pieces and move on.But Lizzie is gone, and all that remains for Cal is an overwhelming sense that her death was his fault. And a voice in his head that just...won't...stop.Cal thought he and his friends could overcome any obstacle. But grief might be the one exception.And that might take a lifetime to accept...The ARC edition for ISBN13: 9780738744308 is located here.",Available
Don't Look Behind You,F Dun,GRAY36866,"Duncan, Lois","Don't Look Behind You Study Guide consists of approx. 37 pages of summaries and analysis on Don't Look Behind You by Lois Duncan.  This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
